seconds,pressure,flow,insp,.dVol,volume,vent_RR,vent_rel_vt
12.361155033111572,5.9089,-12.7739,679,-4.3168999999999995,214.79838333333333,10,10
12.381145715713501,5.8742,-12.5087,679,-4.213766666666666,210.58461666666668,10,10
12.40113615989685,5.8742,-12.2435,679,-4.125366666666666,206.45925,10,10
12.4211266040802,5.8396,-12.1551,679,-4.066433333333333,202.39281666666668,10,10
12.44111704826355,5.8396,-12.0667,679,-4.036966666666667,198.35585,10,10
12.461107730865479,5.8396,-11.9783,679,-4.0075,194.34835,10,10
12.481098175048828,5.8396,-11.8015,679,-3.9633000000000003,190.38505,10,10
12.501088619232178,5.8396,-11.5363,679,-3.8896333333333333,186.49541666666667,10,10
12.521079063415527,5.8049,-11.2711,679,-3.8012333333333337,182.69418333333334,10,10
12.541069507598877,5.8049,-11.0943,679,-3.7275666666666667,178.96661666666668,10,10
12.561059951782227,5.7702,-10.9175,679,-3.668633333333333,175.29798333333335,10,10
12.581050395965576,5.7702,-10.7407,679,-3.6097,171.68828333333335,10,10
12.601041078567505,5.7702,-10.5639,679,-3.5507666666666666,168.13751666666667,10,10
12.621031761169434,5.7702,-10.3871,679,-3.4918333333333336,164.64568333333332,10,10
12.641022205352783,5.7355,-10.2987,679,-3.447633333333333,161.19805,10,10
12.661012649536133,5.7355,-10.1219,679,-3.403433333333333,157.79461666666668,10,10
12.681003093719482,5.7355,-10.0335,679,-3.3592333333333335,154.43538333333333,10,10
12.700993537902832,5.7009,-9.9451,679,-3.3297666666666665,151.10561666666666,10,10
12.720983982086182,5.6662,-9.8567,679,-3.3003,147.80531666666667,10,10
12.74097466468811,5.6315,-9.6799,679,-3.2561,144.54921666666667,10,10
12.76096510887146,5.5968,-9.6799,679,-3.226633333333333,141.32258333333334,10,10
12.78095555305481,5.5968,-9.5915,679,-3.2119,138.11068333333333,10,10
12.80094599723816,5.5621,-9.5031,679,-3.182433333333333,134.92825,10,10
12.820936441421509,5.5275,-9.4147,679,-3.152966666666667,131.77528333333333,10,10
12.840926885604858,5.4928,-9.3263,679,-3.1235,128.65178333333333,10,10
12.860917329788208,5.4928,-9.3263,679,-3.1087666666666665,125.54301666666667,10,10
12.880908250808716,5.4928,-9.4147,679,-3.1235,122.41951666666667,10,10
12.900898694992065,5.4928,-9.3263,679,-3.1235,119.29601666666667,10,10
12.920889139175415,5.4928,-9.3263,679,-3.1087666666666665,116.18725,10,10
12.940879583358765,5.4581,-9.1495,679,-3.0793,113.10795,10,10
12.960870027542114,5.3888,-8.7958,679,-2.9908833333333336,110.11706666666667,10,10
12.980860471725464,5.2847,-8.0886,679,-2.8140666666666663,107.30300000000001,10,10
13.000850915908813,5.2501,-7.293,679,-2.5635999999999997,104.7394,10,10
13.020841598510742,5.2847,-7.0278,679,-2.3868,102.35260000000001,10,10
13.040832042694092,5.2847,-6.851,679,-2.3131333333333335,100.03946666666667,10,10
13.060822486877441,5.3194,-6.851,679,-2.2836666666666665,97.75580000000001,10,10
13.080812931060791,5.3888,-7.0278,679,-2.3131333333333335,95.44266666666667,10,10
13.10080337524414,5.4581,-7.1162,679,-2.357333333333333,93.08533333333334,10,10
13.12079405784607,5.5275,-7.2046,679,-2.3868,90.69853333333334,10,10
13.140784502029419,5.5275,-7.2046,679,-2.401533333333333,88.29700000000001,10,10
13.160774946212769,5.5275,-7.0278,679,-2.372066666666667,85.92493333333334,10,10
13.180765628814697,5.5275,-7.0278,679,-2.3426,83.58233333333334,10,10
13.200756072998047,5.5275,-7.0278,679,-2.3426,81.23973333333333,10,10
13.220746517181396,5.5275,-7.0278,679,-2.3426,78.89713333333334,10,10
13.240736961364746,5.4928,-6.9394,679,-2.3278666666666665,76.56926666666668,10,10
13.260727405548096,5.4234,-6.7626,679,-2.2836666666666665,74.2856,10,10
13.280717849731445,5.3888,-6.5858,679,-2.2247333333333335,72.06086666666667,10,10
13.300708293914795,5.3194,-6.4974,679,-2.180533333333333,69.88033333333334,10,10
13.320698976516724,5.3194,-6.3206,679,-2.136333333333333,67.744,10,10
13.340689420700073,5.2847,-6.2322,679,-2.0921333333333334,65.65186666666668,10,10
13.360679864883423,5.2847,-6.1438,679,-2.0626666666666664,63.589200000000005,10,10
13.380670547485352,5.2501,-6.0554,679,-2.0332,61.556000000000004,10,10
13.400660991668701,5.2847,-6.0554,679,-2.0184666666666664,59.53753333333334,10,10
13.42065143585205,5.2501,-5.967,679,-2.0037333333333334,57.53380000000001,10,10
13.4406418800354,5.2501,-5.8786,679,-1.9742666666666664,55.55953333333334,10,10
13.460632562637329,5.2501,-5.7902,679,-1.9447999999999999,53.61473333333334,10,10
13.480623006820679,5.2154,-5.6134,679,-1.9006,51.71413333333334,10,10
13.500613451004028,5.2154,-5.6134,679,-1.8711333333333335,49.843,10,10
13.520603895187378,5.1807,-5.525,679,-1.8564,47.98660000000001,10,10
13.540594339370728,5.1807,-5.525,679,-1.8416666666666668,46.14493333333334,10,10
13.560584783554077,5.1807,-5.4366,679,-1.8269333333333335,44.318000000000005,10,10
13.580575227737427,5.1807,-5.3482,679,-1.7974666666666668,42.52053333333334,10,10
13.600565910339355,5.2154,-5.3482,679,-1.7827333333333333,40.73780000000001,10,10
13.620556592941284,5.2154,-5.1714,679,-1.7532666666666668,38.98453333333334,10,10
13.640547037124634,5.2154,-5.083,679,-1.7090666666666667,37.275466666666674,10,10
13.660537481307983,5.2154,-4.9946,679,-1.6796,35.59586666666667,10,10
13.680527925491333,5.2154,-4.8178,679,-1.6354,33.960466666666676,10,10
13.700518369674683,5.1807,-4.7294,679,-1.5912000000000002,32.369266666666675,10,10
13.720508813858032,5.1807,-4.641,679,-1.5617333333333332,30.80753333333334,10,10
13.740499258041382,5.1807,-4.5526,679,-1.5322666666666667,29.275266666666674,10,10
13.76048994064331,5.1807,-4.4642,679,-1.5028,27.772466666666674,10,10
13.78048038482666,5.146,-4.3758,679,-1.4733333333333332,26.29913333333334,10,10
13.80047082901001,5.146,-4.1106,679,-1.4143999999999999,24.88473333333334,10,10
13.82046127319336,5.1807,-3.9338,679,-1.340733333333333,23.544000000000008,10,10
13.840451717376709,5.1807,-3.8454,679,-1.2965333333333335,22.24746666666667,10,10
13.860442161560059,5.146,-3.5802,679,-1.2376,21.009866666666674,10,10
13.880432844161987,5.146,-3.4034,679,-1.1639333333333333,19.84593333333334,10,10
13.900423526763916,5.1807,-3.4034,679,-1.1344666666666667,18.711466666666674,10,10
13.920413970947266,5.1807,-3.4918,679,-1.1492,17.562266666666673,10,10
13.940404415130615,5.1807,-3.4034,679,-1.1492,16.413066666666673,10,10
13.960394859313965,5.1807,-3.4034,679,-1.1344666666666667,15.278600000000006,10,10
13.980385303497314,5.1114,-2.9614,679,-1.0608,14.217800000000006,10,10
14.000375747680664,5.042,-1.989,679,-0.8250666666666667,13.39273333333334,10,10
